student_id,term_id,first_name,last_name,credits_earned,date_of_birth,student_employee,gpa,academic_plans,enrollment_id,course_title,class_id,grade,age,course_subject,course_number,course_section
473651,2221,Umeko,Kenealy,124,7/1/03,0,4.0,Office Administration,92918515,General Biology 1,EBIO-1-1210-11,74.25,19,EBIO,1210,11
848689,2221,Ferne,Kirckman,99,1/30/00,0,3.23,Music - Undetermined,66588206,General Physics 1,PHYS-1-1110-15,93.32,22,PHYS,1110,15
510845,2221,Prakash,Kuroda,110,5/28/04,1,4.0,Performance,62686575,General Biology 1,EBIO-1-1210-10,75.53,18,EBIO,1210,10
416077,2221,Anant,Rao,128,11/10/00,0,3.81,Business - Undetermined,71987402,General Chemistry 1,CHEM-1-1113-21,89.57,21,CHEM,1113,21
265877,2221,Deborah,MacRory,135,12/24/99,0,3.62,Real Estate,87044258,General Physics 1,PHYS-1-1110-16,89.79,22,PHYS,1110,16
224980,2221,Averil,Stapleton,119,6/2/01,1,3.47,Environmental Prod of Design,49590198,General Biology 1,EBIO-1-1210-10,81.44,21,EBIO,1210,10
224980,2221,Averil,Stapleton,119,6/2/01,1,3.47,Environmental Prod of Design,45056488,General Chemistry 1,CHEM-1-1113-21,87.24,21,CHEM,1113,21
857882,2221,Cordell,Bolger,110,9/14/01,0,2.01,Computer Science,46113725,General Chemistry 1,CHEM-1-1113-21,64.55,21,CHEM,1113,21
450147,2221,Ben,Valenta,142,1/13/02,0,3.71,American Studies,53931402,General Biology 1,EBIO-1-1210-11,81.21,20,EBIO,1210,11
267871,2221,Seamus,MacAlpin,94,1/13/02,0,2.07,Music Education,19086078,General Physics 1,PHYS-1-1110-16,84.87,20,PHYS,1110,16
844991,2221,Midge,Glover,132,4/1/01,0,2.68,Religious Studies Concurr Deg,27706585,General Biology 1,EBIO-1-1210-11,85.16,21,EBIO,1210,11
961655,2221,Mikaela,Dany,123,1/31/04,0,3.57,Theatre,45381591,General Physics 1,PHYS-1-1110-16,82.21,18,PHYS,1110,16
836340,2221,Kelcie,Poser,129,12/12/01,0,2.63,Business - Open Option,16242308,General Physics 1,PHYS-1-1110-16,83.71,20,PHYS,1110,16
452889,2221,Armando,Rainer,138,12/30/00,0,3.89,Humanities Concurr Deg,29494848,General Biology 1,EBIO-1-1210-11,86.8,21,EBIO,1210,11
602747,2221,Luci,Golton,132,7/10/98,1,2.96,Integrative Physiology-Con Deg,14297994,General Physics 1,PHYS-1-1110-16,95.07,24,PHYS,1110,16
384628,2221,Michail,Enzley,112,3/14/01,0,3.78,Neuroscience;Biology,77033020,General Biology 1,EBIO-1-1210-10,91.43,21,EBIO,1210,10
384628,2221,Michail,Enzley,112,3/14/01,0,3.78,Neuroscience;Biology,62637135,General Chemistry 1,CHEM-1-1113-21,72.66,21,CHEM,1113,21
315688,2221,David,Korlat,134,6/23/02,0,2.29,Russian Studies,39080615,General Biology 1,EBIO-1-1210-11,82.43,20,EBIO,1210,11
826757,2221,Xena,Asquith,124,3/31/99,0,4.0,Chem & Biol Engr Concur Deg,27886473,General Biology 2,EBIO-1-1220-3,84.0,23,EBIO,1220,3
530502,2221,Sonja,Penylton,107,2/21/04,0,2.01,Classical Antiquity,54458732,General Chemistry 1,CHEM-1-1113-21,79.61,18,CHEM,1113,21
860087,2221,Truda,Elders,114,1/22/01,0,3.11,Fine Arts - Studio Arts,74679770,General Chemistry 1,CHEM-1-1113-21,76.04,21,CHEM,1113,21
247264,2221,Shannon,Storks,107,2/22/99,0,3.98,Pre-Business,26212755,General Biology 2,EBIO-1-1220-3,69.53,23,EBIO,1220,3
365036,2221,Pansy,Loveitt,142,8/24/02,0,3.16,Cinema Stds/Moving Image Arts,68756732,General Biology 1,EBIO-1-1210-11,83.17,20,EBIO,1210,11
365036,2221,Pansy,Loveitt,142,8/24/02,0,3.16,Cinema Stds/Moving Image Arts,34809253,General Physics 1,PHYS-1-1110-16,83.16,20,PHYS,1110,16
521541,2221,Ellerey,Quarry,132,1/13/03,0,3.37,Sociology,31208729,General Chemistry 1,CHEM-1-1113-22,77.67,19,CHEM,1113,22
615961,2221,Candide,Innett,121,4/30/03,0,3.62,Art History,72136995,General Chemistry 1,CHEM-1-1113-21,85.79,19,CHEM,1113,21
824076,2221,Lorelle,Coulman,133,11/3/03,0,2.48,Architecture,76894344,General Chemistry 1,CHEM-1-1113-22,80.91,18,CHEM,1113,22
852337,2221,Cacilia,Pates,115,7/21/03,1,3.6,Philosophy,46755863,General Chemistry 1,CHEM-1-1113-22,75.13,19,CHEM,1113,22
896386,2221,Bernie,Hardaway,113,10/17/98,0,3.56,"Electrical Engr, Concur Degree",59572410,General Biology 1,EBIO-1-1210-10,92.95,24,EBIO,1210,10
401591,2221,Bobbye,Cohen,139,1/4/04,0,3.86,News - Editorial,65164548,General Biology 1,EBIO-1-1210-11,77.12,18,EBIO,1210,11
401591,2221,Bobbye,Cohen,139,1/4/04,0,3.86,News - Editorial,23304827,General Chemistry 1,CHEM-1-1113-21,89.98,18,CHEM,1113,21
758870,2221,Emmalyn,Mullen,125,3/28/02,0,2.45,Physics for Secondary Schools,10304181,General Chemistry 1,CHEM-1-1113-21,76.62,20,CHEM,1113,21
540842,2221,Rubina,McCurlye,137,7/17/01,1,2.05,Journalism - Undetermined,83779201,General Chemistry 1,CHEM-1-1113-22,93.85,21,CHEM,1113,22
546841,2221,Quyen,Wattana,97,9/16/99,1,4.0,Economics,78539481,General Biology 1,EBIO-1-1210-10,65.29,23,EBIO,1210,10
504838,2221,Drusi,Handover,122,2/6/99,1,3.62,Aerospace Engineering Sciences,40987078,General Biology 2,EBIO-1-1220-3,55.29,23,EBIO,1220,3
792859,2221,Elvin,Deguara,115,10/15/01,0,3.78,Electrical Engineering,55623374,General Physics 1,PHYS-1-1110-16,88.66,21,PHYS,1110,16
545384,2221,Robers,Sandwich,120,5/16/00,0,3.54,Personnel-Human Resources Mgt,17782294,General Chemistry 1,CHEM-1-1113-22,75.02,22,CHEM,1113,22
631296,2221,Mariele,Mouan,133,11/30/98,0,2.82,Environmental Design,65092176,General Biology 1,EBIO-1-1210-10,90.64,23,EBIO,1210,10
631296,2221,Mariele,Mouan,133,11/30/98,0,2.82,Environmental Design,85724743,General Chemistry 1,CHEM-1-1113-22,78.02,23,CHEM,1113,22
114604,2221,Tabor,Pfleger,134,1/24/99,1,4.0,Composition,62616427,General Biology 1,EBIO-1-1210-10,92.78,23,EBIO,1210,10
514433,2221,Rahel,Edge,134,1/22/02,0,2.94,Business - Undetermined,54240180,General Physics 1,PHYS-1-1110-15,89.04,20,PHYS,1110,15
377983,2221,Hildagarde,Thebeau,101,2/21/04,0,3.65,Systems,35777027,General Biology 1,EBIO-1-1210-11,94.3,18,EBIO,1210,11
738627,2221,Shaylah,Vick,142,11/17/00,0,4.0,Integrated Design Engineering,48227457,General Biology 2,EBIO-1-1220-1,86.76,21,EBIO,1220,1
262173,2221,Jania,Jowett,103,7/18/03,0,3.13,Architectural Engineering,13328422,General Biology 1,EBIO-1-1210-11,100.0,19,EBIO,1210,11
262173,2221,Jania,Jowett,103,7/18/03,0,3.13,Architectural Engineering,70384313,General Chemistry 1,CHEM-1-1113-21,78.38,19,CHEM,1113,21
977538,2221,Arleta,Gaddie,137,12/24/02,1,4.0,Theatre,87624981,General Chemistry 1,CHEM-1-1113-21,83.68,19,CHEM,1113,21
667704,2221,Lolita,Abramow,110,7/14/00,1,3.1,Minerals Land Management,30830484,General Biology 1,EBIO-1-1210-11,92.69,22,EBIO,1210,11
801984,2221,Raddie,Pleat,130,4/4/00,1,3.62,International Affairs,28106123,General Biology 2,EBIO-1-1220-1,90.4,22,EBIO,1220,1
311192,2221,Bibiana,Espino,134,4/15/00,0,2.72,Journalism - Undetermined,69066523,General Biology 1,EBIO-1-1210-11,71.45,22,EBIO,1210,11
238606,2221,Sholom,Kinman,102,9/15/00,0,4.0,Leadership/CommunityEngagement,22333544,General Chemistry 1,CHEM-1-1113-21,73.27,22,CHEM,1113,21
815185,2221,Orin,Canton,95,1/16/01,0,3.96,Jewish Studies,40079916,General Biology 1,EBIO-1-1210-11,62.5,21,EBIO,1210,11
306649,2221,Meaghan,Lush,95,8/14/02,1,2.77,Comm Disorders & Speech Sci,63314913,General Biology 1,EBIO-1-1210-11,68.88,20,EBIO,1210,11
708465,2221,Jerry,Hawkwood,116,12/15/02,0,2.5,Biological Sciences-MCD,14699682,General Biology 1,EBIO-1-1210-11,92.18,19,EBIO,1210,11
776450,2221,Dill,Clemendot,133,4/28/99,1,4.0,Design Studies,19752229,General Biology 1,EBIO-1-1210-10,85.41,23,EBIO,1210,10
776450,2221,Dill,Clemendot,133,4/28/99,1,4.0,Design Studies,60909345,General Chemistry 1,CHEM-1-1113-21,85.43,23,CHEM,1113,21
953041,2221,Howie,Stallard,106,3/26/99,1,2.77,Computer Science,13392571,General Biology 1,EBIO-1-1210-11,81.66,23,EBIO,1210,11
985831,2221,Monah,Pepye,95,1/2/99,0,4.0,Design Studies,68145810,General Biology 1,EBIO-1-1210-11,85.2,23,EBIO,1210,11
983922,2221,Demetria,Maier,97,1/18/98,0,2.72,Computer Science Applications,44707743,General Chemistry 1,CHEM-1-1113-22,79.36,24,CHEM,1113,22
155867,2221,Germain,Southers,124,10/27/99,0,4.0,Computer Science,50094255,General Biology 1,EBIO-1-1210-10,89.23,23,EBIO,1210,10
909777,2221,Cathlene,Buntin,133,4/2/00,0,3.52,Physics,96336287,General Biology 1,EBIO-1-1210-11,88.29,22,EBIO,1210,11
895485,2221,Gert,Jepperson,129,3/18/99,0,2.58,Business Analytics,32521071,General Biology 1,EBIO-1-1210-10,94.82,23,EBIO,1210,10
999803,2221,Ravid,Hewlings,114,3/12/98,0,2.79,Composition,87851759,General Biology 2,EBIO-1-1220-1,78.52,24,EBIO,1220,1
265506,2221,Dyanne,Grestie,111,2/17/98,0,4.0,Environmental Studies,94694382,General Biology 1,EBIO-1-1210-11,87.44,24,EBIO,1210,11
265506,2221,Dyanne,Grestie,111,2/17/98,0,4.0,Environmental Studies,30826352,General Physics 1,PHYS-1-1110-15,71.86,24,PHYS,1110,15
827840,2221,Rhodia,Flores,120,2/24/98,0,4.0,Media Studies,84948950,General Chemistry 1,CHEM-1-1113-22,81.21,24,CHEM,1113,22
131285,2221,Carleton,Abendroth,140,4/28/02,1,4.0,Broadcast Production,23819971,General Physics 1,PHYS-1-1110-15,52.25,20,PHYS,1110,15
150535,2221,Lilias,Bullas,131,12/19/01,0,4.0,Latin American Studies,94937972,General Physics 1,PHYS-1-1110-15,85.22,20,PHYS,1110,15
645664,2221,Lyell,Harsent,134,10/26/01,1,2.08,"Economics, Concurrent Degree",39871129,General Physics 1,PHYS-1-1110-16,58.56,21,PHYS,1110,16
